iter	RMSE
204	1520.890212
205	1520.478247
206	1519.639593
207	1519.057317
208	1518.09404
209	1517.314987
210	1516.60903
211	1516.258564
212	1515.788409
213	1515.199837
214	1514.808747
215	1514.303137
216	1514.132134
217	1513.744364
218	1513.252758
219	1512.585192
220	1512.413217
221	1511.913358
222	1511.265457
223	1510.819647
224	1510.35783
225	1510.07382
226	1509.60991
227	1509.153991
228	1508.680797
229	1508.080348
230	1507.770809
231	1507.034548
232	1506.862906
233	1506.626324
234	1506.268612
235	1505.863029
236	1505.457139
237	1505.003586
238	1504.798116
239	1504.365358
240	1503.811499
241	1503.080684
242	1502.751278
243	1502.565983
244	1502.230362
245	1501.862814
246	1501.615487
247	1501.184987
248	1500.900664
249	1500.485958
250	1499.74818
251	1499.554896
252	1499.053911
253	1498.458036
254	1498.129258
255	1497.604799
256	1496.840849
257	1496.364339
258	1496.007944
259	1495.494011
260	1494.968395
261	1494.379447
262	1494.067116
263	1493.903411
264	1493.636227
265	1493.521196
266	1493.150268
267	1492.831391
268	1492.220394
269	1491.789653
270	1491.353529
271	1490.69958
272	1490.160731
273	1489.799779
274	1489.475265
275	1488.874457
276	1488.199008
277	1487.99892
278	1487.605956
279	1487.182333
280	1486.798628
281	1486.390968
282	1486.278206
283	1485.684064
284	1485.165225
285	1484.834623
286	1484.633287
287	1484.217123
288	1483.985842
289	1483.858244
290	1483.492045
291	1483.279149
292	1482.835648
293	1482.706296
294	1482.288667
295	1481.876905
296	1481.628845
297	1481.41984
298	1481.185108
299	1480.72128
300	1480.310945
301	1479.911157
302	1479.570718
303	1479.350786
304	1479.030059
305	1478.79113
306	1478.421846
307	1478.062936
308	1477.990431
309	1477.671981
310	1477.317218
311	1476.860493
312	1476.664706
313	1476.396847
314	1476.076397
315	1475.77326
316	1475.516108
317	1475.320752
318	1475.037306
319	1474.898187
320	1474.330188
321	1473.978125
322	1473.500203
323	1473.269343
324	1472.429231
325	1472.100695
326	1471.744868
327	1471.563421
328	1470.88897
329	1470.615226
330	1470.41863
331	1470.362708
332	1470.120743
333	1469.949669
334	1469.572013
335	1468.956919
336	1468.728939
337	1468.487968
338	1468.161198
339	1467.917857
340	1467.549735
341	1467.296774
342	1467.026459
343	1466.515951
344	1466.144623
345	1465.85439
346	1465.494382
347	1465.302108
348	1464.961529
349	1464.847687
350	1464.570775
351	1464.409997
352	1464.044104
353	1463.64195
354	1463.407933
355	1463.229851
356	1462.913301
357	1462.400538
358	1462.152835
359	1461.964794
360	1461.650687
361	1461.367793
362	1460.977186
363	1460.822089
364	1460.371919
365	1460.211779
366	1460.172642
367	1460.010901
368	1459.617102
369	1459.256015
370	1459.010362
371	1458.449694
372	1457.939473
373	1457.821188
374	1457.21477
375	1457.047013
376	1456.841516
377	1456.534782
378	1456.259207
379	1455.856301
380	1455.464294
381	1454.99673
382	1454.678762
383	1454.287328
384	1454.093751
385	1453.966828
386	1453.763772
387	1453.534834
388	1453.23098
389	1453.050853
390	1452.924417
391	1452.582085
392	1452.440595
393	1452.094858
394	1451.835771
395	1451.623562
396	1451.345634
397	1451.20135
398	1451.022903
399	1450.731657
400	1450.392868
401	1450.04114
402	1449.751158
403	1449.547423
404	1449.291892
405	1449.03309
406	1448.634297
407	1448.418518
408	1448.353011
409	1447.934068
410	1447.78667
411	1447.639385
412	1447.350309
413	1447.19252
414	1446.866209
415	1446.720506
416	1446.499168
417	1446.093674
418	1445.835801
419	1445.434162
420	1445.269216
421	1445.141027
422	1444.926771
423	1444.645932
424	1444.356258
425	1444.093143
426	1443.932
427	1443.736602
428	1443.422128
429	1443.215904
430	1442.90711
431	1442.696226
432	1442.531865
433	1442.332796
434	1442.176661
435	1441.847637
436	1441.573346
437	1441.442191
438	1441.237658
439	1441.044645
440	1440.763308
441	1440.193809
442	1439.605557
443	1439.480069
444	1439.139842
445	1439.042258
446	1438.836719
447	1438.476472
448	1438.014844
449	1437.872224
450	1437.763084
451	1437.558015
452	1437.339436
453	1437.249066
454	1436.982223
455	1436.76154
456	1436.414142
457	1435.959725
458	1435.656042
459	1435.491832
460	1435.407174
461	1435.265162
462	1434.991849
463	1434.88374
464	1434.698014
465	1434.273602
466	1433.885657
467	1433.673801
468	1433.485173
469	1433.045555
470	1432.825266
471	1432.681479
472	1432.326651
473	1432.013138
474	1431.898781
475	1431.604099
476	1431.239864
477	1431.054746
478	1430.848114
479	1430.618796
480	1430.385483
481	1430.242815
482	1429.997341
483	1429.874701
484	1429.704786
485	1429.547618
486	1429.356361
487	1429.214992
488	1429.015728
489	1428.761936
490	1428.585182
491	1428.185822
492	1427.835494
493	1427.593727
494	1427.467699
495	1427.313853
496	1427.058903
497	1426.811868
498	1426.627018
499	1426.469025
500	1426.294606
501	1425.823394
502	1425.731111
503	1425.567721
504	1425.370447
505	1425.10301
506	1424.973228
507	1424.704329
508	1424.46737
509	1424.323724
510	1424.135797
511	1424.047184
512	1423.835711
513	1423.663295
514	1423.508813
515	1423.238746
516	1422.924938
517	1422.766409
518	1422.616086
519	1422.310815
520	1422.118779
521	1421.874704
522	1421.744703
523	1421.605925
524	1421.271672
525	1421.169929
526	1421.047492
527	1420.927824
528	1420.891251
529	1420.748988
530	1420.368584
531	1420.148068
532	1419.934702
533	1419.744048
534	1419.612491
535	1419.366113
536	1419.173657
537	1418.96325
538	1418.862842
539	1418.691428
540	1418.557467
541	1418.275665
542	1418.227038
543	1418.077959
544	1417.984366
545	1417.750667
546	1417.555007
547	1417.342332
548	1417.172924
549	1417.12063
550	1416.556641
551	1416.342828
552	1416.154676
553	1415.986622
554	1415.929444
555	1415.788222
556	1415.545871
557	1415.434721
558	1415.380207
559	1415.115503
560	1414.855642
561	1414.601805
562	1414.373157
563	1414.28655
564	1413.914617
565	1413.722261
566	1413.548236
567	1413.410693
568	1413.131123
569	1412.915655
570	1412.603465
571	1412.398567
572	1412.226348
573	1411.903828
574	1411.656623
575	1411.534706
576	1411.354794
577	1411.273853
578	1411.031139
579	1410.941369
580	1410.786086
581	1410.524342
582	1410.144388
583	1409.883146
584	1409.677977
585	1409.599597
586	1409.384755
587	1409.127765
588	1408.981313
589	1408.794426
590	1408.610558
591	1408.128537
592	1407.99943
593	1407.686533
594	1407.662479
595	1407.375441
596	1407.240441
597	1407.099113
598	1406.813043
599	1406.64273
600	1406.430005
601	1406.3859
602	1406.186142
603	1406.015169
604	1405.721358
605	1405.553841
606	1405.48042
607	1405.41107
608	1405.324009
609	1405.116569
610	1404.892021
611	1404.693947
612	1404.593001
613	1404.490762
614	1404.318872
615	1404.21826
616	1403.960576
617	1403.871231
618	1403.784127
619	1403.677906
620	1403.509196
621	1403.156306
622	1402.935558
623	1402.734717
624	1402.613403
625	1402.416918
626	1402.321385
627	1402.148922
628	1401.95688
629	1401.836103
630	1401.766744
631	1401.410451
632	1401.307149
633	1401.164252
634	1401.014755
635	1400.896709
636	1400.733198
637	1400.520905
638	1400.283448
639	1400.15529
640	1399.950158
641	1399.748272
642	1399.437109
643	1399.341134
644	1399.0986
645	1398.900339
646	1398.671362
647	1398.452669
648	1398.18554
649	1398.06797
650	1397.797467
651	1397.617902
652	1397.507628
653	1397.428141
654	1397.299374
655	1396.990402
656	1396.94343
657	1396.871985
658	1396.814518
659	1396.537378
660	1396.405627
661	1396.26745
662	1396.104844
663	1395.90641
664	1395.737279
665	1395.430812
666	1395.351196
667	1395.24926
668	1395.170956
669	1394.923528
670	1394.776398
671	1394.646705
672	1394.564578
673	1394.476402
674	1394.280321
675	1394.169042
676	1394.151611
677	1393.826355
678	1393.70357
679	1393.593176
680	1393.473698
681	1393.362416
682	1393.051902
683	1392.973779
684	1392.800151
685	1392.59723
686	1392.416171
687	1392.190878
688	1392.139586
689	1391.778374
690	1391.681566
691	1391.526726
692	1391.260498
693	1391.202331
694	1391.102364
695	1391.002131
696	1390.739203
697	1390.688517
698	1390.419109
699	1390.233229
700	1389.995729
701	1389.804396
702	1389.273564
703	1389.197135
704	1389.017851
705	1388.932278
706	1388.65633
707	1388.498304
708	1388.22597
709	1388.12516
710	1388.045459
711	1387.848013
712	1387.73226
713	1387.469595
714	1387.337147
715	1387.140151
716	1387.131668
717	1386.963972
718	1386.845194
719	1386.708233
720	1386.561385
721	1386.362367
722	1386.061258
723	1385.995183
724	1385.769998
725	1385.602049
726	1385.383335
727	1385.156723
728	1385.109914
729	1384.968671
730	1384.781861
731	1384.559183
732	1384.463529
733	1384.366272
734	1384.215639
735	1383.917608
736	1383.812598
737	1383.739196
738	1383.599118
739	1383.471699
740	1383.327268
741	1383.228247
742	1382.965698
743	1382.898338
744	1382.78259
745	1382.591552
746	1382.423163
747	1382.318959
748	1382.227019
749	1381.973247
750	1381.890053
751	1381.669926
752	1381.585509
753	1381.454492
754	1381.302455
755	1381.225316
756	1381.10674
757	1380.780869
758	1380.698684
759	1380.625514
760	1380.582975
761	1380.320052
762	1380.12322
763	1379.920853
764	1379.714187
765	1379.603085
766	1379.532497
767	1379.414859
768	1379.311615
769	1379.209929
770	1379.035623
771	1378.879245
772	1378.759981
773	1378.50782
774	1378.362017
775	1378.248425
776	1378.116307
777	1378.000426
778	1377.916657
779	1377.760067
780	1377.533422
781	1377.455
782	1377.221359
783	1377.087649
784	1376.997008
785	1376.860971
786	1376.74198
787	1376.579529
788	1376.147495
789	1376.059951
790	1375.99397
791	1375.750449
792	1375.665772
793	1375.612708
794	1375.487076
795	1375.42857
796	1375.301822
797	1375.093444
798	1375.016731
799	1374.906242
800	1374.784031
801	1374.701028
802	1374.595782
803	1374.491594
804	1374.213974
805	1373.944659
806	1373.893734
807	1373.788152
808	1373.614325
809	1373.528346
810	1373.416527
811	1373.025482
812	1372.914302
813	1372.767429
814	1372.617473
815	1372.469561
816	1372.383967
817	1372.258556
818	1372.048035
819	1371.865917
820	1371.756334
821	1371.563069
822	1371.353459
823	1371.206595
824	1371.063873
825	1370.752981
826	1370.643701
827	1370.534213
828	1370.477053
829	1370.335002
830	1370.238131
831	1370.049522
832	1369.841971
833	1369.645435
834	1369.578581
835	1369.519117
836	1369.378391
837	1369.249627
838	1369.11741
839	1369.073163
840	1369.017068
841	1368.956174
842	1368.851054
843	1368.644191
844	1368.400676
845	1368.315283
846	1368.161488
847	1368.118193
848	1367.981784
849	1367.832561
850	1367.710743
851	1367.53712
852	1367.449645
853	1367.233318
854	1366.928582
855	1366.7384
856	1366.607269
857	1366.468235
858	1366.413389
859	1366.232613
860	1366.135847
861	1366.048158
862	1365.904882
863	1365.835507
864	1365.804639
865	1365.738128
866	1365.638541
867	1365.463647
868	1365.372223
869	1365.312043
870	1365.142785
871	1364.893993
872	1364.681374
873	1364.396279
874	1364.352997
875	1364.231802
876	1364.136876
877	1364.02818
878	1363.903432
879	1363.751586
880	1363.673204
881	1363.572618
882	1363.453736
883	1363.336517
884	1363.263288
885	1363.057564
886	1362.971724
887	1362.829879
888	1362.756146
889	1362.676604
890	1362.630826
891	1362.596621
892	1362.482603
893	1362.259098
894	1362.035446
895	1361.993227
896	1361.840924
897	1361.697273
898	1361.542567
899	1361.294082
900	1361.164381
901	1360.907837
902	1360.823506
903	1360.519967
904	1360.32743
905	1360.234578
906	1360.044194
907	1359.987371
908	1359.892178
909	1359.83422
910	1359.713521
911	1359.633786
912	1359.436389
913	1359.257226
914	1359.088429
915	1358.987885
916	1358.932382
917	1358.739003
918	1358.576335
919	1358.526419
920	1358.33999
921	1358.190557
922	1358.018128
923	1357.92067
924	1357.849898
925	1357.738258
926	1357.584314
927	1357.516291
928	1357.40816
929	1357.095833
930	1356.973936
931	1356.869166
932	1356.779986
933	1356.672066
934	1356.512893
935	1356.470037
936	1356.257423
937	1355.953817
938	1355.888584
939	1355.848832
940	1355.712436
941	1355.643893
942	1355.513119
943	1355.404537
944	1355.26315
945	1355.182105
946	1355.021815
947	1354.983425
948	1354.863247
949	1354.68674
950	1354.603849
951	1354.513308
952	1354.407812
953	1354.255524
954	1354.159774
955	1354.054748
956	1353.832167
957	1353.754886
958	1353.653483
959	1353.57104
960	1353.503358
961	1353.354666
962	1353.242162
963	1353.218203
964	1353.065445
965	1353.051832
966	1352.958488
967	1352.870038
968	1352.831659
969	1352.731462
970	1352.586525
971	1352.530551
972	1352.478129
973	1352.448129
974	1352.414836
975	1352.299614
976	1352.184131
977	1352.132285
978	1352.011625
979	1351.930206
980	1351.634397
981	1351.476976
982	1351.34387
983	1351.163777
984	1351.023548
985	1350.887955
986	1350.819696
987	1350.7666
988	1350.66089
989	1350.591514
990	1350.527323
991	1350.436134
992	1350.296262
993	1350.180349
994	1350.052069
995	1350.015572
996	1349.897772
997	1349.71126
998	1349.505439
999	1349.423802
